run,seed,alpha,prov_a_accuracy,prov_a_latency_ms,prov_a_reliability,prov_b_accuracy,prov_b_latency_ms,prov_b_reliability,utility_a,utility_b,selected,selected_utility,best_utility,regret,w_accuracy,w_latency,w_reliability
19,1253,0.0,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.507651,0.670509,idt2b,0.670509,0.670509,0.0,0.0,0.5,0.5
19,1253,0.05,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.530942,0.654742,idt2b,0.654742,0.654742,0.0,0.05,0.475,0.475
19,1253,0.1,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.554233,0.638974,idt2b,0.638974,0.638974,0.0,0.1,0.45,0.45
19,1253,0.15,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.577523,0.623206,idt2b,0.623206,0.623206,0.0,0.15,0.425,0.425
19,1253,0.2,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.600814,0.607438,idt2b,0.607438,0.607438,0.0,0.2,0.4,0.4
19,1253,0.25,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.624104,0.59167,idt2a,0.624104,0.624104,0.0,0.25,0.375,0.375
19,1253,0.3,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.647395,0.575903,idt2a,0.647395,0.647395,0.0,0.3,0.35,0.35
19,1253,0.35,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.670686,0.560135,idt2a,0.670686,0.670686,0.0,0.35,0.325,0.325
19,1253,0.4,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.693976,0.544367,idt2a,0.693976,0.693976,0.0,0.4,0.3,0.3
19,1253,0.45,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.717267,0.528599,idt2a,0.717267,0.717267,0.0,0.45,0.275,0.275
19,1253,0.5,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.740557,0.512831,idt2a,0.740557,0.740557,0.0,0.5,0.25,0.25
19,1253,0.55,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.763848,0.497064,idt2a,0.763848,0.763848,0.0,0.55,0.225,0.225
19,1253,0.6,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.787139,0.481296,idt2a,0.787139,0.787139,0.0,0.6,0.2,0.2
19,1253,0.65,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.810429,0.465528,idt2a,0.810429,0.810429,0.0,0.65,0.175,0.175
19,1253,0.7,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.83372,0.44976,idt2a,0.83372,0.83372,0.0,0.7,0.15,0.15
19,1253,0.75,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.85701,0.433992,idt2a,0.85701,0.85701,0.0,0.75,0.125,0.125
19,1253,0.8,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.880301,0.418225,idt2a,0.880301,0.880301,0.0,0.8,0.1,0.1
19,1253,0.85,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.903591,0.402457,idt2a,0.903591,0.903591,0.0,0.85,0.075,0.075
19,1253,0.9,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.926882,0.386689,idt2a,0.926882,0.926882,0.0,0.9,0.05,0.05
19,1253,0.95,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.950173,0.370921,idt2a,0.950173,0.950173,0.0,0.95,0.025,0.025
19,1253,1.0,0.973463,95.2081,0.967384,0.355153,6.3806,0.404824,0.973463,0.355153,idt2a,0.973463,0.973463,0.0,1.0,0.0,0.0
