run,seed,alpha,prov_a_accuracy,prov_a_latency_ms,prov_a_reliability,prov_b_accuracy,prov_b_latency_ms,prov_b_reliability,utility_a,utility_b,selected,selected_utility,best_utility,regret,w_accuracy,w_latency,w_reliability
16,1250,0.0,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.471395,0.714375,idt2b,0.714375,0.714375,0.0,0.0,0.5,0.5
16,1250,0.05,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.496351,0.701756,idt2b,0.701756,0.701756,0.0,0.05,0.475,0.475
16,1250,0.1,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.521307,0.689137,idt2b,0.689137,0.689137,0.0,0.1,0.45,0.45
16,1250,0.15,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.546263,0.676517,idt2b,0.676517,0.676517,0.0,0.15,0.425,0.425
16,1250,0.2,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.571219,0.663898,idt2b,0.663898,0.663898,0.0,0.2,0.4,0.4
16,1250,0.25,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.596175,0.651279,idt2b,0.651279,0.651279,0.0,0.25,0.375,0.375
16,1250,0.3,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.621131,0.63866,idt2b,0.63866,0.63866,0.0,0.3,0.35,0.35
16,1250,0.35,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.646087,0.626041,idt2a,0.646087,0.646087,0.0,0.35,0.325,0.325
16,1250,0.4,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.671043,0.613422,idt2a,0.671043,0.671043,0.0,0.4,0.3,0.3
16,1250,0.45,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.695999,0.600803,idt2a,0.695999,0.695999,0.0,0.45,0.275,0.275
16,1250,0.5,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.720955,0.588184,idt2a,0.720955,0.720955,0.0,0.5,0.25,0.25
16,1250,0.55,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.745911,0.575565,idt2a,0.745911,0.745911,0.0,0.55,0.225,0.225
16,1250,0.6,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.770867,0.562946,idt2a,0.770867,0.770867,0.0,0.6,0.2,0.2
16,1250,0.65,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.795823,0.550327,idt2a,0.795823,0.795823,0.0,0.65,0.175,0.175
16,1250,0.7,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.820778,0.537708,idt2a,0.820778,0.820778,0.0,0.7,0.15,0.15
16,1250,0.75,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.845734,0.525089,idt2a,0.845734,0.845734,0.0,0.75,0.125,0.125
16,1250,0.8,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.87069,0.51247,idt2a,0.87069,0.87069,0.0,0.8,0.1,0.1
16,1250,0.85,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.895646,0.499851,idt2a,0.895646,0.895646,0.0,0.85,0.075,0.075
16,1250,0.9,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.920602,0.487232,idt2a,0.920602,0.920602,0.0,0.9,0.05,0.05
16,1250,0.95,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.945558,0.474613,idt2a,0.945558,0.945558,0.0,0.95,0.025,0.025
16,1250,1.0,0.970514,98.8806,0.931596,0.461994,4.7556,0.476305,0.970514,0.461994,idt2a,0.970514,0.970514,0.0,1.0,0.0,0.0
