run,seed,alpha,prov_a_accuracy,prov_a_latency_ms,prov_a_reliability,prov_b_accuracy,prov_b_latency_ms,prov_b_reliability,utility_a,utility_b,selected,selected_utility,best_utility,regret,w_accuracy,w_latency,w_reliability
11,1245,0.0,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.491802,0.7443,idt2b,0.7443,0.7443,0.0,0.0,0.5,0.5
11,1245,0.05,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.516165,0.733882,idt2b,0.733882,0.733882,0.0,0.05,0.475,0.475
11,1245,0.1,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.540528,0.723464,idt2b,0.723464,0.723464,0.0,0.1,0.45,0.45
11,1245,0.15,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.564891,0.713046,idt2b,0.713046,0.713046,0.0,0.15,0.425,0.425
11,1245,0.2,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.589254,0.702628,idt2b,0.702628,0.702628,0.0,0.2,0.4,0.4
11,1245,0.25,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.613617,0.69221,idt2b,0.69221,0.69221,0.0,0.25,0.375,0.375
11,1245,0.3,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.63798,0.681793,idt2b,0.681793,0.681793,0.0,0.3,0.35,0.35
11,1245,0.35,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.662343,0.671375,idt2b,0.671375,0.671375,0.0,0.35,0.325,0.325
11,1245,0.4,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.686706,0.660957,idt2a,0.686706,0.686706,0.0,0.4,0.3,0.3
11,1245,0.45,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.711069,0.650539,idt2a,0.711069,0.711069,0.0,0.45,0.275,0.275
11,1245,0.5,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.735432,0.640121,idt2a,0.735432,0.735432,0.0,0.5,0.25,0.25
11,1245,0.55,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.759795,0.629704,idt2a,0.759795,0.759795,0.0,0.55,0.225,0.225
11,1245,0.6,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.784158,0.619286,idt2a,0.784158,0.784158,0.0,0.6,0.2,0.2
11,1245,0.65,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.808521,0.608868,idt2a,0.808521,0.808521,0.0,0.65,0.175,0.175
11,1245,0.7,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.832883,0.59845,idt2a,0.832883,0.832883,0.0,0.7,0.15,0.15
11,1245,0.75,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.857246,0.588032,idt2a,0.857246,0.857246,0.0,0.75,0.125,0.125
11,1245,0.8,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.881609,0.577614,idt2a,0.881609,0.881609,0.0,0.8,0.1,0.1
11,1245,0.85,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.905972,0.567197,idt2a,0.905972,0.905972,0.0,0.85,0.075,0.075
11,1245,0.9,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.930335,0.556779,idt2a,0.930335,0.930335,0.0,0.9,0.05,0.05
11,1245,0.95,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.954698,0.546361,idt2a,0.954698,0.954698,0.0,0.95,0.025,0.025
11,1245,1.0,0.979061,99.4103,0.977708,0.535943,3.1693,0.520293,0.979061,0.535943,idt2a,0.979061,0.979061,0.0,1.0,0.0,0.0
