run,seed,degraded1,onset1_s,rate1,fail1_s,recover1_s,degraded2,onset2_s,rate2,fail2_s,recover2_s,degraded3,onset3_s,rate3,fail3_s,recover3_s,t,method,active_provider,accuracy,latency_ms,reliability,utility,failover_event
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,0,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,1,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,2,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,3,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,4,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,5,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,6,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,7,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,8,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,9,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,10,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,11,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,12,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,13,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,14,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,15,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,16,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,17,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
0,1234,idt2b,15.042,0.17002,25.135,35.05,idt2a,50.876,0.08143,61.425,75.209,idt2b,92.055,0.10733,104.934,118.115,18,qos_aware,idt2a,0.97,18.0,0.995,0.93875,0
