run,seed,t,policy,selected,true_acc,true_lat_ms,true_rel,true_utility,sigma_q_selected,sigma_a_selected,sigma_q_A,sigma_q_B,sigma_a_A,sigma_a_B,failover_event
21,354641336,0,baseline,prov_a,0.93,30.0,0.96,0.8945,0.18,0.12,0.18,0.02,0.12,0.02,0
21,354641336,0,qos_aware,prov_a,0.93,30.0,0.96,0.8945,0.18,0.12,0.18,0.02,0.12,0.02,0
21,354641336,0,uncertainty_aware,prov_b,0.74,8.0,0.86,0.818,0.02,0.02,0.18,0.02,0.12,0.02,1
21,354641336,1,baseline,prov_a,0.93,30.0,0.96,0.8945,0.18,0.12,0.18,0.02,0.12,0.02,0
21,354641336,1,qos_aware,prov_a,0.93,30.0,0.96,0.8945,0.18,0.12,0.18,0.02,0.12,0.02,0
21,354641336,1,uncertainty_aware,prov_b,0.74,8.0,0.86,0.818,0.02,0.02,0.18,0.02,0.12,0.02,0
21,354641336,2,baseline,prov_a,0.93,30.0,0.96,0.8945,0.18,0.12,0.18,0.02,0.12,0.02,0
21,354641336,2,qos_aware,prov_a,0.93,30.0,0.96,0.8945,0.18,0.12,0.18,0.02,0.12,0.02,0
21,354641336,2,uncertainty_aware,prov_b,0.74,8.0,0.86,0.818,0.02,0.02,0.18,0.02,0.12,0.02,0
21,354641336,3,baseline,prov_a,0.93,30.0,0.96,0.8945,0.18,0.12,0.18,0.02,0.12,0.02,0
21,354641336,3,qos_aware,prov_a,0.93,30.0,0.96,0.8945,0.18,0.12,0.18,0.02,0.12,0.02,0
21,354641336,3,uncertainty_aware,prov_b,0.74,8.0,0.86,0.818,0.02,0.02,0.18,0.02,0.12,0.02,0
21,354641336,4,baseline,prov_a,0.93,30.0,0.96,0.8945,0.18,0.12,0.18,0.02,0.12,0.02,0
21,354641336,4,qos_aware,prov_a,0.93,30.0,0.96,0.8945,0.18,0.12,0.18,0.02,0.12,0.02,0
