run,seed,degraded1,onset1_s,rate1,fail1_s,recover1_s,degraded2,onset2_s,rate2,fail2_s,recover2_s,degraded3,onset3_s,rate3,fail3_s,recover3_s,degraded4,onset4_s,rate4,fail4_s,recover4_s,t,method,active_provider,accuracy,latency_ms,reliability,utility,failover_event
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,0,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,1,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,2,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,3,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,4,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,5,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,6,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,7,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,8,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,9,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,10,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,11,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,12,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,13,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,14,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,15,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,16,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,17,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,18,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,19,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,20,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,21,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,22,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,23,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,24,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,25,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
42,1276,idt2b,11.516,0.14568,19.705,32.818,idt2a,52.034,0.15575,61.71,77.251,idt2b,92.036,0.09739,103.639,118.384,idt2a,137.876,0.23254,148.412,161.026,26,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
