run,seed,alpha,prov_a_accuracy,prov_a_latency_ms,prov_a_reliability,prov_b_accuracy,prov_b_latency_ms,prov_b_reliability,utility_a,utility_b,selected,selected_utility,best_utility,regret,w_accuracy,w_latency,w_reliability
1,999193816,0.6,0.886525,65.6417,0.924602,0.586843,10.3296,0.755781,0.785552,0.682603,idt2a,0.785552,0.785552,0.0,0.6,0.2,0.2
1,999193816,0.65,0.886525,65.6417,0.924602,0.586843,10.3296,0.755781,0.798173,0.670633,idt2a,0.798173,0.798173,0.0,0.65,0.175,0.175
1,999193816,0.7,0.886525,65.6417,0.924602,0.586843,10.3296,0.755781,0.810795,0.658663,idt2a,0.810795,0.810795,0.0,0.7,0.15,0.15
1,999193816,0.75,0.886525,65.6417,0.924602,0.586843,10.3296,0.755781,0.823416,0.646693,idt2a,0.823416,0.823416,0.0,0.75,0.125,0.125
1,999193816,0.8,0.886525,65.6417,0.924602,0.586843,10.3296,0.755781,0.836038,0.634723,idt2a,0.836038,0.836038,0.0,0.8,0.1,0.1
1,999193816,0.85,0.886525,65.6417,0.924602,0.586843,10.3296,0.755781,0.84866,0.622753,idt2a,0.84866,0.84866,0.0,0.85,0.075,0.075
1,999193816,0.9,0.886525,65.6417,0.924602,0.586843,10.3296,0.755781,0.861281,0.610783,idt2a,0.861281,0.861281,0.0,0.9,0.05,0.05
1,999193816,0.95,0.886525,65.6417,0.924602,0.586843,10.3296,0.755781,0.873903,0.598813,idt2a,0.873903,0.873903,0.0,0.95,0.025,0.025
1,999193816,1.0,0.886525,65.6417,0.924602,0.586843,10.3296,0.755781,0.886525,0.586843,idt2a,0.886525,0.886525,0.0,1.0,0.0,0.0
2,999193817,0.0,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.621592,0.889262,idt2b,0.889262,0.889262,0.0,0.0,0.5,0.5
2,999193817,0.05,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.637567,0.875714,idt2b,0.875714,0.875714,0.0,0.05,0.475,0.475
2,999193817,0.1,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.653543,0.862166,idt2b,0.862166,0.862166,0.0,0.1,0.45,0.45
2,999193817,0.15,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.669519,0.848618,idt2b,0.848618,0.848618,0.0,0.15,0.425,0.425
2,999193817,0.2,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.685494,0.835071,idt2b,0.835071,0.835071,0.0,0.2,0.4,0.4
2,999193817,0.25,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.70147,0.821523,idt2b,0.821523,0.821523,0.0,0.25,0.375,0.375
