run,seed,degraded1,onset1_s,rate1,fail1_s,recover1_s,degraded2,onset2_s,rate2,fail2_s,recover2_s,degraded3,onset3_s,rate3,fail3_s,recover3_s,t,method,active_provider,accuracy,latency_ms,reliability,utility,failover_event
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,31,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,32,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,33,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,34,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,35,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,36,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,37,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,38,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,39,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,40,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,41,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,42,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,43,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,44,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,45,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,46,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,47,qos_aware,idt2a,0.958868,20.4453,0.981094,0.91654,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,48,qos_aware,idt2a,0.892274,23.1091,0.927819,0.865928,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,49,qos_aware,idt2a,0.825679,25.7728,0.874544,0.815316,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,50,qos_aware,idt2b,0.75,8.0,0.91,0.849,1
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,51,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,52,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,53,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,54,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,55,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,56,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,57,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,58,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,59,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,60,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,61,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,62,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,63,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,64,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
