timestamp_ms,timestamp_iso,source_cdt,active_provider,on_fallback,coverage_pct,phase,accuracy,latency_ms,reliability,freshness_ms,degraded
1774815183987,2026-03-29T22:13:03+02:00,cdt1,idt1a,0,0.1,exploring,0.95,1,0.97,1,0
1774815188991,2026-03-29T22:13:08+02:00,cdt1,idt1a,0,0.4,hazard_scan,0.95,12,0.97,0,0
1774815193985,2026-03-29T22:13:13+02:00,cdt1,idt1a,0,0.55,hazard_scan,0.95,12,0.97,0,0
1774815198988,2026-03-29T22:13:18+02:00,cdt1,idt1a,0,0.85,hazard_scan,0.95,1,0.97,0,0
1774815203985,2026-03-29T22:13:23+02:00,cdt1,idt1a,0,1.15,hazard_scan,0.95,12,0.97,0,0
1774815208985,2026-03-29T22:13:28+02:00,cdt1,idt1a,0,1.3,clearance,0.95,12,0.97,0,0
1774815213568,2026-03-29T22:13:33+02:00,cdt1,idt1a,0,1.6,clearance,0.95,12,0.97,0,0
1774815218560,2026-03-29T22:13:38+02:00,cdt1,idt1a,0,1.9,verifying,0.95,12,0.97,0,0
1774815223557,2026-03-29T22:13:43+02:00,cdt1,idt1a,0,2.05,verifying,0.95,12,0.97,0,0
1774868252203,2026-03-30T12:57:32+02:00,cdt1,idt1a,0,0,exploring,0.95,1,0.97,0,0
1774868257194,2026-03-30T12:57:37+02:00,cdt1,idt1a,0,0.1,hazard_scan,0.95,1,0.97,1,0
1774868262193,2026-03-30T12:57:42+02:00,cdt1,idt1a,0,0.4,hazard_scan,0.95,12,0.97,0,0
1774868267193,2026-03-30T12:57:47+02:00,cdt1,idt1a,0,0.7,hazard_scan,0.95,1,0.97,0,0
1774868272194,2026-03-30T12:57:52+02:00,cdt1,idt1a,0,0.85,hazard_scan,0.95,12,0.97,0,0
1774868277201,2026-03-30T12:57:57+02:00,cdt1,idt1a,0,1.15,hazard_scan,0.95,12,0.97,0,0
1774868282196,2026-03-30T12:58:02+02:00,cdt1,idt1a,0,1.45,hazard_scan,0.95,12,0.97,1,0
1774868287195,2026-03-30T12:58:07+02:00,cdt1,idt1a,0,1.6,hazard_scan,0.95,1,0.97,0,0
1774868292192,2026-03-30T12:58:12+02:00,cdt1,idt1a,0,1.9,clearance,0.95,1,0.97,0,0
1774868297193,2026-03-30T12:58:17+02:00,cdt1,idt1a,0,2.2,clearance,0.95,12,0.97,0,0
1774868302193,2026-03-30T12:58:22+02:00,cdt1,idt1a,0,2.35,clearance,0.95,12,0.97,0,0
1774868307194,2026-03-30T12:58:27+02:00,cdt1,idt1a,0,2.65,clearance,0.95,1,0.97,0,0
1774868312202,2026-03-30T12:58:32+02:00,cdt1,idt1a,0,2.95,clearance,0.95,1,0.97,0,0
1774868317204,2026-03-30T12:58:37+02:00,cdt1,idt1a,0,3.1,clearance,0.95,12,0.97,0,0
1774868322192,2026-03-30T12:58:42+02:00,cdt1,idt1a,0,3.4,clearance,0.95,12,0.97,0,0
